Core	Longitude	Latitude	Depth	RecentDate	OldestDate	Proxy	Species	Reference
GEOB1016-3	11.68	-11.77	3409	0.9	200.6	Planktonic foraminifera	Globigerinoides ruber pink	Schneider et al., 1995
GEOB1028-5	9.19	-20.1	2209	0	219.4	Planktonic foraminifera	Globigerina bulloides	Schneider et al., 1995
GEOB1028-5	9.19	-20.1	2209	0	219.4	Planktonic foraminifera	Globigerinoides ruber	Schneider et al., 1995
GEOB1032	6.04	-22.92	2505	0.75	368	Benthic foraminifera	Cibicides wuellerstorfi	Bickert and wefer, 1996
GEOB1034	5.42	-21.74	3731	0	902.67	Benthic foraminifera	Cibicides wuellerstorfi	Bickert and wefer, 1996
GEOB1035	5.03	-21.6	4450	0	902.67	Benthic foraminifera	Cibicides wuellerstorfi	Bickert and wefer, 1996
GEOB1041	-7.59	-3.48	4035	0.21	586	Benthic foraminifera	Cibicides wuellerstorfi	Bickert and wefer, 1996
GEOB1101	-10.98	1.66	4567	0.38	540.8	Benthic foraminifera	Cibicides wuellerstorfi	Bickert and wefer, 1996
GEOB1105	-12.43	-1.67	3230	0.24	366.85	Benthic foraminifera	Cibicidoides wuellerstorfi	Bickert and wefer, 1996
GEOB1112	-10.75	-5.78	3128	1	271	Benthic foraminifera	Cibicides wuellerstorfi	Bickert and wefer, 1996
GEOB1113	-11.04	-5.75	2374	0.36	423.5	Planktonic foraminifera	Globigerinoides ruber w	Sarnthein et al., 1994
GEOB1113	-11.04	-5.75	2374	0.36	423.5	Benthic foraminifera	Cibicidoides wuellerstorfi	Sarnthein et al., 1994
GEOB1115	-12.56	-3.56	2945	0.57	269	Benthic foraminifera	Cibicides wuellerstorfi	Bickert and wefer, 1996
GEOB1117	-14.9	-3.82	3984	2.61	362	Benthic foraminifera	Cibicides wuellerstorfi	Bickert and wefer, 1996
GEOB1118	-16.43	-3.56	4671	0.38	387.2	Benthic foraminifera	Cibicides wuellerstorfi	Bickert and wefer, 1996
GEOB1515	-43.67	4.24	3129	0.16	69.08	Benthic foraminifera	Cibicides sp RAW	Vidal 1999
GEOB1515	-43.67	4.24	3129	0.16	69.08	Benthic foraminifera	Cibicides sp ADJUSTED	Vidal 1999
GEOB1523-1	-41.62	3.83	3292	77	128.5	Planktonic foraminifera	Globorotalia tumida	Ruehlemann et al., 2001
GEOB1711	12.38	-23.32	1967	0.24	59	Benthic foraminifera	Cibicides wuellerstorfi	Vidal et al., 1999
GEOB3129/3911	-36.64	-4.61	830	0.17	20.74	Planktonic foraminifera	Globigerinoides ruber white	Weldeab et al., 2006
GEOB3129-1	-36.64	-4.61	830	0.46	14.34	Planktonic foraminifera	Globigerinoides sacculifer	Arz et al., 1999a
GEOB3129-1	-36.64	-4.61	830	0.46	14.34	Planktonic foraminifera	Globigerinoides ruber pink	Arz et al., 1999a
GEOB3176-1	-34.44	-7.01	1385	0.65	29.08	Planktonic foraminifera	Globigerinoides sacculifer	Arz et al., 1999a
GEOB3176-1	-34.44	-7.01	1385	0.65	29.08	Planktonic foraminifera	Globigerinoides ruber pink	Arz et al., 1999a
GEOB3606-1	13.08	-25.47	1785	6.7	54.9	Planktonic foraminifera	Globigerina bulloides	Romero et al., 2003
GEOB3606-1	13.08	-25.47	1785	6.7	54.9	Planktonic foraminifera	Globorotalia inflata	Romero et al., 2003
GEOB3910-2	-36.35	-4.25	2362	0.25	10.7	Planktonic foraminifera	Globigerinoides sacculifer	Arz et al., 2001
GEOB3910-2	-36.35	-4.25	2362	0.25	10.7	Planktonic foraminifera	Globorotalia tumida	Arz et al., 2001
GEOB3911-3	-36.64	-4.61	828	14.43	20.74	Planktonic foraminifera	Globigerinoides sacculifer	Arz et al., 1999a
GEOB3911-3	-36.64	-4.61	828	14.43	20.74	Planktonic foraminifera	Globigerinoides ruber pink	Arz et al., 1999a
GEOB3935-2	-59.39	12.61	1558	0.21	176.25	Benthic foraminifera	Cibicides wuellerstorfi	Schlanz et al., 2000
GEOB3938-1	-58.33	12.26	1972	0.21	244.18	Benthic foraminifera	Cibicides wuellerstorfi	Schlanz et al., 2000
GEOB4223	-12.47	29.02	775	0.92	88.44	Benthic foraminifera	Globigerina bulloides	Freudenthal et al., 2002
GEOB4223	-12.47	29.02	775	0.92	88.44	Benthic foraminifera	Uvigerina peregrina	Freudenthal et al., 2002
GEOB4905-4	9.39	2.5	1328	0.06	21.77	Planktonic foraminifera	Globigerinoides ruber pink	Weldeab et al., 2005
GEOB5804-4	34.96	29.5	464	-0.03	7.43	Gradient Planktonic-benthic foraminifera	Gradient globigerinoides ruber (white) - cibicidoides mabahethi	Lamy et al., 2006 
GEOB5836-2	35.35	26.2	1475	3.95	6.29	Planktonic foraminifera	Globigerinoides ruber	Arz et al., 2006
GEOB5844-2	34.68	27.71	963	0.59	20.98	Planktonic foraminifera	Globigerinoides ruber white	Arz et al., 2003
GEOB5844-2	34.68	27.71	963	0.59	20.98	Pteropod	Creseis acicula	Arz et al., 2003
GEOB5844-2	34.68	27.71	963	0.59	20.98	Benthic foraminifera	Cibicidoides mabahethi	Arz et al., 2003
GEOB5844-2	34.68	27.71	963	0.59	20.98	Benthic foraminifera	Bulimina marginata	Arz et al., 2003
GEOB5844-2	34.68	27.71	963	0.59	20.98	Pteropod	Limacina inflata	Arz et al., 2003
GEOB6007-1	-10.27	30.85	899	-0.05	0.12	Benthic foraminifera	Hyalinea balthica	Morley, 2011
GEOB6007-1	-10.27	30.85	899	-0.05	0.12	Benthic foraminifera	Hyalinea balthica interpolated	Morley, 2011
GEOB6007-2	-10.27	30.85	900	0.17	1.14	Benthic foraminifera	Hyalinea balthica	Morley, 2011
GEOB6007-2	-10.27	30.85	900	0.17	1.13	Benthic foraminifera	Hyalinea balthica interpolated	Morley, 2011
GEOB6518-1	11.22	-5.59	962	0.03	19.5	Planktonic foraminifera	Globigerinoides ruber	Schefuss et al., 2005
GEOB7608-1	30.2	43.49	1202	8.27	26.51	Ostracode	Candona spp.	Bahr et al., 2008
GEOB7610-1	30.07	43.65	465	7.78	15.89	Ostracode	Candona spp	Bahr et al., 2005
GEOB7616-4	30.04	43.68	168	12.36	15.47	Bivalve shell	Dreissena rostriformis	Bahr et al., 2005 & 2006
GEOB7920-2	-18.58	20.75	2278	0.52	117.89	Benthic foraminifera	Cibicidoides wuellerstorfi	Tjallingii et al., 2008
GEOB9528-3 (313)	-17.66	9.17	3057	6.95	192.3	Benthic foraminifera	Cibicidoides wuellerstorfi	Castaneda et al., 2009
GEOTU_SL096	19.2	32.76	1399	2.3	17.1	Planktonic foraminifera	Globigerinoides ruber type A	Numberger et al., 2009
GEOTU_SL096	19.2	32.76	1399	2.3	17.1	Planktonic foraminifera	Globigerinoides ruber type B	Numberger et al., 2009
GEOTU_SL096	19.2	32.76	1399	8.3	16.3	Planktonic foraminifera	Globigerinoides ruber type C	Numberger et al., 2009
GEOTU_SL112	34.65	32.74	892	0.33	12.02	Benthic foraminifera	Planulina ariminensis	Kuhnt et al., 2008
GEOTU_SL112	34.65	32.74	892	0.33	12.02	Benthic foraminifera	Uvigerina mediterranea	Kuhnt et al., 2008
GEOTU_SL123	24.1	39.75	1094	0.07	11.87	Benthic foraminifera	Planulina ariminensis	Kuhnt et al., 2008
GEOTU_SL123	24.1	39.75	1094	0.07	11.87	Benthic foraminifera	Uvigerina mediterranea	Kuhnt et al., 2008
GEOTU_SL148	27.56	35.76	728	2.41	12.04	Benthic foraminifera	Planulina ariminensis	Kuhnt et al., 2008
GEOTU_SL148	27.56	35.76	728	0.07	12.04	Benthic foraminifera	Uvigerina mediterranea	Kuhnt et al., 2008
GGC39	-75.42	31.67	2975	1.2	18.53	Benthic foraminifera	Cibicidoides wuellerstorfi	Keigwin and schlegel, 2002
GGC39	-75.42	31.67	2975	1.2	19.94	Planktonic foraminifera	Globigerinoides ruber	Keigwin and schlegel, 2002
GGC40	-75.47	31.72	2924	2.35	18.99	Planktonic foraminifera	Globigerinoides ruber	Keigwin and schlegel, 2002
GIK12328-5	-18.57	21.15	2778	0	30.76	Benthic foraminifera	Uvigerina peregrina	Beveridge et al., 1995
GIK12329	-18.93	19.37	3315	0.26	155.39	Benthic foraminifera	Pyrgo sp.	Sarnthein et al., 1994
GIK12329	-18.93	19.37	3315	0.26	155.39	Benthic foraminifera	Cibicidoides wuellerstorfi	Sarnthein et al., 1994
GIK12337	-18.13	15.95	3094	0.13	17.1	Planktonic foraminifera	Globigerinoides ruber w	Sarnthein et al., 1994
GIK12337	-18.13	15.95	3094	0.13	17.1	Benthic foraminifera	Cibicidoides wuellerstorfi	Sarnthein et al., 1994
GIK12379-1	-17.75	23.14	2136	3.92	92.21	Benthic foraminifera	Cibicidoides wuellerstorfi	Sarnthein et al., 1994
GIK12379-1	-17.75	23.14	2136	9.8	92.21	Benthic foraminifera	Uvigerina hollicki	Sarnthein et al., 1994
GIK12379-1	-17.75	23.14	2136	3.92	92.21	Benthic foraminifera	Uvigerina peregrina	Sarnthein et al., 1994
GIK12392-1	-16.85	25.17	2573	2.49	141.33	Benthic foraminifera	Cibicidoides wuellerstorfi	Sarnthein et al., 1994
GIK12392-1	-16.85	25.17	2573	2.49	141.33	Benthic foraminifera	Uvigerina hollicki	Sarnthein et al., 1994
GIK13239	-18.31	13.88	3156	8.2	39.52	Benthic foraminifera	Cibicidoides wuellerstorfi	Sarnthein et al., 1994
