Id	Longitude	Latitude	Depth	RecentDate	OldestDate	Archive	Material	DOI
23	117.41905	20.053	2037	0.09	1975.6	Ocean	Planktonic foraminifera	10.2973/odp.proc.sr.184.205.2004
24	-106.474	22.68333	420	1.13	112	Ocean	Benthic foraminifera	10.1029/98PA02508
25	-106.5178	23.51778	2025	3.35	139	Ocean	Benthic foraminifera	10.1029/98PA02508
26	-107.0717	22.38639	1018	1.64	50.2	Ocean	Benthic foraminifera	10.1029/98PA02508
27	-75.90135	-39.89	4072	12.47	141.24	Ocean	Planktonic foraminifera	10.1016/j.epsl.2008.02.007
28	57.347	14.321	3212	0.61	24.57	Ocean	Planktonic foraminifera	10.1038/364322a0
29	159.361	0.3185	2520	3.424	753.115	Ocean	Planktonic foraminifera	10.1007/BF02369003
30	159.361	0.3185	2520	3.424	753.115	Ocean	Planktonic foraminifera	10.1007/BF02369003
31	159.361	0.3185	2520	3.424	753.115	Ocean	Benthic foraminifera	10.1007/BF02369003
32	-160	4	1	-0.028792	0.000458	Ocean	Coral	10.1126/science.1228246
33	-38	-31	2925	4.235	301.8	Ocean	Benthic foraminifera	10.1029/92PA02253
34	-76	80.25	2200	-0.023	0.15	Ice	Ice	10.1177/095968369500500103 
35	-76	80.25	2200	-0.011	0.15	Ice	Ice	10.1177/095968369500500103 
36	98.51	-0.13333	6	-0.04796	0.09171	Ocean	Coral	10.1038/ngeo357
37	11.768667	41.752	662	4.8	21.6	Ocean	Benthic foraminifera	10.1029/91PA00501
38	-76	80.25	2200	0.1	11.7	Ice	Ice	10.1029/2007JD009143
39	-76	80.25	2200	0.1	11.7	Ice	Ice	10.1029/2007JD009143
40	-76	80.25	2200	0.1	11.7	Ice	Ice	10.1029/2007JD009143
41	-76	80.25	2200	0.1	11.7	Ice	Ice	10.1029/2007JD009143
42	-119.856667	32.8	1171	3.036	32.728	Ocean	Planktonic foraminifera	10.1029/96PA01236
43	-118.416667	31.468333	2451	1.379	24.988	Ocean	Planktonic foraminifera	10.1029/96PA01236
44	-118.116667	31.866667	1915	1.687	34.889	Ocean	Planktonic foraminifera	10.1029/96PA01236
45	-118.116667	31.866667	1915	3.43	48.59	Ocean	Benthic foraminifera	10.1029/1999PA000375
46	-118.116667	31.866667	1915	3.43	29.1	Ocean	Planktonic foraminifera	10.1029/1999PA000375
47	-119.06	33.011667	1756	3.852	29.076	Ocean	Planktonic foraminifera	10.1029/96PA01236
48	92.06	31.62	4575	4.183	9.494	Lake	Carbonate	10.1016/j.yqres.2005.02.014
49	92.06	31.62	4575	4.021	9.12	Lake	Carbonate	10.1016/j.yqres.2005.02.014
50	92.06	31.62	4575	3.887	8.231	Lake	Carbonate	10.1016/j.yqres.2005.02.014
